TransactionID,Timestamp,CustomerID,Name,Surname,Shipping_State,Item,Description,Retail_Price,Loyalty_Discount
113255,2016-12-13 18:05:37,200000663,Leonard,Jackson,Delaware,8619953091,Pillowcase,18.96,0.02
113254,2016-12-13 18:05:22,200000661,Lucas,Abraham,Louisiana,2020397001,Men's Pajama Set,23.1,0
113253,2016-12-13 18:03:57,200000662,Trevor,Skinner,Louisiana,4681342313,Sheets,29.9,0.1
113252,2016-12-13 18:01:45,100000007,Dorothy,Thomson,Alabama,6697166886,Coat,159.8,0.07
113251,2016-12-13 18:01:22,400000180,Eric,Bower,New Hampshire,6697166886,Coat,159.8,0.06
113250,2016-12-13 17:59:20,200000701,Joshua,Wilson,North Carolina,5187373849,Short Slip,12.87,0.1
113249,2016-12-13 17:59:11,300000467,Angela,Morrison,Utah,7010679527,Blanket,63.84,0.08
113248,2016-12-13 17:58:07,400000706,Samantha,Mills,Alabama,1893735141,Socks,115.5,0.1
113247,2016-12-13 17:57:50,100000061,Kylie,Howard,Minnesota,8241463559,Wallet,49.75,0.1
113246,2016-12-13 17:55:30,400000513,Amy,Wilkins,Minnesota,2430071492,Dust Ruffle,41.86,0.02
113245,2016-12-13 17:51:34,200000459,Charles,Brown,Arizona,6988128169,Handbag,25.44,0.04
113244,2016-12-13 17:48:55,200000482,Justin,Graham,Arizona,7270957383,Scarf,29.85,0.01
113243,2016-12-13 17:48:05,100000081,Joan,Buckland,Minnesota,6228611532,Valance,47.76,0.02
113242,2016-12-13 17:46:18,200000821,Charles,Underwood,Texas,1940915493,Long Gown,68.77,0.08
113241,2016-12-13 17:45:21,300000015,Madeleine,Marshall,Arizona,3305177499,Coveralls (long sleeve),95.88,0.08
113240,2016-12-13 17:43:39,100000252,Nicholas,Lyman,North Carolina,4924918902,T-shirt,62.79,0.09
113239,2016-12-13 17:42:54,300000822,Leonard,Fisher,Maine,2363094138,Short Overalls,71.82,0.07
113238,2016-12-13 17:42:42,300000815,Pippa,Robertson,Massachusetts,2355020550,Sweater,67.92,0.03
113237,2016-12-13 17:42:31,100000618,Andrew,Wright,Wyomin,3890778939,Suit & 2 pc Dress,125.16,0.08
113236,2016-12-13 17:42:25,100000051,Sophie,Wilkins,Washington,5153370805,Shorts,43.96,0.04
113235,2016-12-13 17:42:11,100000880,Rachel,Springer,North Dakota,1737807900,Tie,68.64,0.03
113234,2016-12-13 17:40:07,100000898,Samantha,Ross,Montan,2695940506,Sweater,59.4,0.02
113233,2016-12-13 17:40:00,400000359,Gabrielle,MacDonald,Vermont,9873264896,Hat,10.89,0.07
113232,2016-12-13 17:39:47,100000559,Grace,Mills,Massachusetts,7270957383,Scarf,29.85,0.09
113231,2016-12-13 17:38:30,100000878,Felicity,Metcalfe,Florida,8068199275,Slacks,87.78,0.03
113230,2016-12-13 17:36:34,100000013,Ryan,MacDonald,Delaware,2588421965,Commode Cover,15.84,0.08
113229,2016-12-13 17:35:12,100000569,Gabrielle,Skinner,Wyomin,9730446421,Blazer,103.3,0
113228,2016-12-13 17:34:14,300000852,Kevin,Parsons,Mississippi,4327321762,Dress,69.75,0.03
113227,2016-12-13 17:33:45,100000158,Michael,Powell,North Carolina,3126356136,Formal Dress,99.9,0.09
113226,2016-12-13 17:33:24,300000023,Deirdre,McDonald,New York,2178891798,Hand Towel,18.17,0.05
113225,2016-12-13 17:33:09,100000923,Andrea,Henderson,Missouri,3795753080,Jeans,38.1,0.09
113224,2016-12-13 17:29:27,100000251,Fiona,Jones,South Dakota,2210750188,Blazer,119.76,0.1
113223,2016-12-13 17:28:01,400000557,Lisa,Buckland,Kentucky,5509524170,Couch Cover,86.68,0.02
113222,2016-12-13 17:27:42,300000614,Jennifer,Skinner,Georgia,2524845521,Gown & Robe Set,105.6,0.1
